"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"475",15,"Raheem Mostert",LV,"RB139","13","-","-","2 out of 5 stars","-"
"476",15,"Xavier Restrepo",TEN,"WR160","9","-","-","3 out of 5 stars","-"
"477",15,"Kendric Pryor",CIN,"WR161","6","-","-","4 out of 5 stars","-"
"478",15,"Michael Woods II",DEN,"WR162","10","-","-","2 out of 5 stars","-"
"479",15,"Drew Sample",CIN,"TE70","6","-","-","3 out of 5 stars","+12"
"480",15,"Robert Henry Jr.",WAS,"RB140","7","1 out of 5","4 out of 5","4 out of 5 stars","-"
"481",15,"Derius Davis",LAC,"WR163","7","-","-","2 out of 5 stars","-"
"482",15,"Cade Klubnik",NYJ,"QB46","13","3 out of 5","4 out of 5","4 out of 5 stars","-116"
"483",15,"Sam Roush",CHI,"TE71","10","3 out of 5","4 out of 5","2 out of 5 stars","-43"
"484",15,"Tai Felton",MIN,"WR164","6","-","-","5 out of 5 stars","-99"
"485",15,"Reggie Gilliam",NE,"RB141","11","-","-","2 out of 5 stars","-21"
"486",15,"Odell Beckham Jr.",NYG,"WR165","8","-","-","4 out of 5 stars","-174"
"487",15,"KeAndre Lambert-Smith",LAC,"WR166","7","-","-","2 out of 5 stars","-87"
"488",15,"Jeshaun Jones",MIN,"WR167","6","-","-","5 out of 5 stars","+13"
"489",15,"Mecole Hardman Jr.",BUF,"WR168","7","-","-","4 out of 5 stars","+13"
"490",15,"Theo Wease Jr.",MIA,"WR169","6","-","-","3 out of 5 stars","-"
"491",15,"Reggie Virgil",ARI,"WR170","14","2 out of 5","4 out of 5","2 out of 5 stars","+6"
"492",15,"Noah Whittington",HOU,"RB142","8","1 out of 5","5 out of 5","4 out of 5 stars","-"
"493",15,"David Sills V",TB,"WR171","10","-","-","4 out of 5 stars","+70"
"494",15,"Jacardia Wright",SEA,"RB143","11","-","-","4 out of 5 stars","-"
"495",15,"Anthony Gould",IND,"WR172","13","-","-","4 out of 5 stars","-"
"496",15,"Tanner Hudson",CIN,"TE72","6","-","-","3 out of 5 stars","-"
"497",15,"Van Jefferson",WAS,"WR173","7","-","-","2 out of 5 stars","+58"
"498",15,"Elijah Moore",PHI,"WR174","10","-","-","4 out of 5 stars","+6"
"499",16,"Michael Trigg",DAL,"TE73","14","2 out of 5","5 out of 5","2 out of 5 stars","-140"
"500",16,"Thomas Fidone II",NYG,"TE74","8","-","-","3 out of 5 stars","-"
"501",16,"Durham Smythe",BAL,"TE75","13","-","-","4 out of 5 stars","-"
"502",16,"Jordan Watkins",SF,"WR175","8","-","-","2 out of 5 stars","-"
"503",16,"Gardner Minshew II",ARI,"QB47","14","-","-","2 out of 5 stars","-38"
"504",16,"Nate Boerkircher",JAC,"TE76","7","2 out of 5","4 out of 5","3 out of 5 stars","-44"
"505",16,"Jared Wiley",KC,"TE77","5","-","-","4 out of 5 stars","-"
"506",16,"Brock Wright",DET,"TE78","6","-","-","3 out of 5 stars","-158"
"507",16,"Jason Sanders",NYJ,"K33","13","-","-","2 out of 5 stars","-175"
"508",16,"Quinn Ewers",MIA,"QB48","6","-","-","3 out of 5 stars","-120"
"509",16,"Jimmy Horn Jr.",CAR,"WR176","5","-","-","2 out of 5 stars","-50"
"510",16,"Tyler Conklin",DET,"TE79","6","-","-","3 out of 5 stars","+25"
"511",16,"DeAndre Hopkins",BAL,"WR177","13","-","-","4 out of 5 stars","-"
"512",16,"Jackson Hawes",BUF,"TE80","7","-","-","3 out of 5 stars","-154"
"513",16,"Jermaine Burton",FA,"WR178","-","-","-","-","-"
"514",16,"Cade Stover",HOU,"TE81","8","-","-","4 out of 5 stars","-"
"515",16,"Moliki Matavao",NO,"TE82","8","-","-","2 out of 5 stars","-"
"516",16,"Skyy Moore",GB,"WR179","11","-","-","5 out of 5 stars","-97"
"517",16,"Taysom Hill",FA,"TE83","-","-","-","-","-"
"518",16,"Will Dissly",FA,"TE84","-","-","-","-","-"
"519",16,"Riley Leonard",IND,"QB49","13","-","-","4 out of 5 stars","-63"
"520",16,"Jacob Cowing",SF,"WR180","8","-","-","2 out of 5 stars","+24"
